,positions,locations,company_names,posted_dates,descriptions
0,Data Scientist,"Remote or Jersey City, NJ, USA",Randstad Technologies,Posted 10 days ago,"job summary: Data Scientist for Compliance Systems Division primarily responsible for aggregating and analyzing data to create actionable insights to drive the results. Uses advanced statistical techniques to provide deeper understanding of data behavior and actions and collaborates with business partners to recommend improvements across the application. Identify opportunities to leverage statistical solutions to solve problems. location: Jersey City, New Jersey job type: Contract salary:"
1,Data Scientist (Expert),"St. Louis, MO, USA",Experis,Posted 2 days ago,"Data Scientist: Design and develop simulation models for real world operating facilities and mfg sites using high level programming languages (Java/Python) or commercial software (Anylogic). Masters degree in Mathematics, Statistics, Industrial Engineering, Operations Research, or a related field with Statistics courses with 2 yrs of industry experience. Strong mastery in development of discrete event simulation models Strong fluency in Python/Java using object oriented programming and creating"
2,Data Scientist,Remote,Global Data Management Inc,Posted 3 days ago,W2 only Need to have basic knowledge of Any programming language. s can also apply (Training will be provided) Bachelor's/Master's degree in Computer Science or equivalent For experienced candidate’s direct hire Opportunity for all work visas - CPT/OPT/H1B/EAD/L2EAD/USC H1B Sponsorship
3,Data Scientist,Remote,Softcrylic,Posted 4 days ago,"Who We Are For more than 20 years, we have been working with organizations large and small to help solve business challenges through technology. We bring a unique combination of engineering and strategy to Make Data Work for organizations. Our clients range from the travel and leisure industry to publishing, retail and banking. The common thread between our clients is their commitment to making data work as seen through their investment in those efforts. In our quest to solve data challenges for"
4,Sr Data Scientist,"Remote or Ada, MI, USA",Randstad Technologies,Posted 5 days ago,"job summary: We need a Senior Data Scientist with experience in predictive modeling and machine learning to help enable and optimize value creation and insights for our Data Platforms Analytics group. We are looking for a high energy Data Scientist who is ready to support our global team. What's special about this team: The Data Platforms Analytics group provides the organization with high quality, innovative data solutions in a focused, fast, and fun atmosphere. The team is seeking a Data Sci"
5,Data Scientist UDF,Remote,Torque Technologies LLC,Posted 6 days ago,Data Scientist UDF Remote Long Term Level: Principal (14+ years Data Science experience) Details: Need help tuning promotion and inventory/sales forecasting (Data is loaded but uncertain how clean it is). 1) SAP Retail Data Scientists to evaluate the characteristics of product Demand Influencing Factors (DIFs) such as promotions . 2) SAP Retail Data Scientist to identify when sales is affected by public holidays like Christmas/Thanksgiving &other calendar events and suggest how they shoul
6,Lead Data Scientist,Remote,Purple Drive Technologies LLC,Posted 11 days ago,"Position: Lead Data Scientist Location:Remote Duration: Full Time Job Qualifications / Requirements: Advanced degree (MS, PhD, or equivalent) in Operations Research or a related quantitative field4+ years (or 3+ years if PhD) of airline or related business experience at successive levels in analytical fields solving complex business problems2+ years of proven ability in innovation to create business value through mathematical programming, statistics, and/or econometric modeling3+ years o"
7,Data Scientist,Remote,Experis,Posted 21 days ago,Data Analyst/Scientist (digital technology operations management team) Analyze IT service management data - currently in Service Now -data will be moving into a data lake. Develop statistical model to analyze the data Looking into Problem data and incident data Must understand how to find insights from data Must have a data science background Trying to understand whether and how to predict IT outages due to changes being made internally Risk Analysis (are there certain systems that cause outage
8,Data Scientist,"San Bruno, CA, USA",West Coast Consulting LLC,Posted 14 days ago,"Position: Data Scientist Location: San Bruno, CA (Remote) Duration: Long term Contract Job Description: Responsibilities Perform hands-on modelling and complex analyses using Python, SQL and/or RBuild and enhance marketing mix models to connect the impact of marketing tactics and business short-term and long-term outcomes Minimum Qualifications Master's degree in statistics, economics, operations research, engineering, or related fieldMarketing mix modelling industry experience4+ years of"
9,Principal Data Scientist,"Alpharetta, GA, USA",Matlen Silver,Posted 10 days ago,"Job Title: Lead Data Scientist Arrangement: FTE, Salary+Bonus Location: Alpharetta, GA Key Skills: Data Science, Data Bricks (Python and R), Cloud (AWS or Azure), SQL Will assist with 3 high-profile projects across multiple spaces including client analysis, pricing, and health and risk. This is a great opportunity to get involved in a fast-growing space within business technology, be a mentor, and work with great people on a great team. Must Have: - Data Scientist for 5+ years Python and R Dat"
10,Data Scientist,"Jackson, MS, USA",Skywalk Global,Posted 10 days ago,"This is not a remote option The Data Scientist will: -Provide technical expertise to further the development of reports as well as evaluate and recommend tools for data reporting and analysis -Assist in the development of scalable, organization-wide dashboards and reporting -Utilize DOM claim and clinical data to perform advanced analysis to identify patterns and trends that may only be apparent using state-of-the-art tools and methods -Work with multiple DOM teams, including both technical an"
11,Data Scientist - ONSITE,"Jackson, MS, USA","Chandra Technologies, Inc.",Posted 10 days ago,"The Data Scientist will: Provide technical expertise to further the development of reports as well as evaluate and recommend tools for data reporting and analysisAssist in the development of scalable, organization-wide dashboards and reportingUtilize DOM claim and clinical data to perform advanced analysis to identify patterns and trends that may only be apparent using state-of-the-art tools and methodsWork with multiple DOM teams, including both technical and non-technical staff, to develop and"
12,Data scientist w/ Insurance domain,"Dallas, TX, USA",Nityo Infotech Corporation,Posted 12 days ago,Role: Data scientist w/ Insurance domain Location: Dallas TX Duration: Full Time /Permanent Interview: Video JD Job Responsibilities - The candidate will be responsible for developing predictive models using wide range of data sources (both structured and unstructured) - The ideal candidate would be adept at understanding customer's business challenges and define appropriate analytics approach - Candidate should possess good communication and can communicate effectively with a wide rang
13,Data Scientist/Analyst,"Silver Spring, MD, USA",Honu Services,Posted 20 days ago,"Position - Data Scientist/Analyst Location - Silver Spring, MD Job Summary As a part of a data analytics and support services team, the data scientist will support efforts providing data science, architect, and data analytics support that includes analyzing, verifying, designing, refining, modernizing, and maintaining the data model and component views within various client systems. The contractor team reviews and conducts analysis of the current data models and data logic utilized in the vision"
14,Data Scientist,"Herndon, VA, USA","Computer Enterprises, Inc.",Posted 12 days ago,"CEIs Fortune 50 client in Media and Telecommunications is looking for a Data Scientist to analyze data using Data science python libraries. The ideal candidate has a deep understanding and experience in the field of Machine Learning, Deep Learning(CNN, LSTM, RNN, Bi-LSTM) and statistical learning. You will develop predictive and statistical models using big data infrastructure based on real-time data. Requirements Must have minimum of 1-2 years of industry experience in developing data science m"
15,Data Scientist,"San Bruno, CA, USA",Hirex,Posted 6 days ago,"Data Scientist Location: Hybrid, 1-2 times a week | San Bruno, California Interview Process: Phone/Skype Duration: 6+ months contract Must have: PYTHON/R/SQL Data Science MASTERS in comparable field of study Job Description: Responsibilities • Perform hands-on modeling and complex analyses using Python, SQL and/or R • Build and enhance marketing mix models to connect the impact of marketing tactics and business short-term and long-term outcomes Minimum Qualifications • Master's degree in"
16,Data Scientist,Remote,"CS Solutions, Inc.",Posted 11 days ago,"Job Title: Data Scientist Location: Remote Duration: 12+ Months Job Description Extracts data from various databases; performs exploratory data analysis, cleanses, massages, and aggregates dataDetermines analytics approach to solve business problems; incorporates machine learning algorithms where appropriateEmploys scaling & automation to data preparation techniquesTransform model outputs into formats that are digestible to the end users through visualization, clear tables, and/or thoughtful"
17,Data Scientist(Locals to California location),"Berkeley, CA, USA",Ideaon,Posted 12 days ago,"Position:Data Scientist Location:Berkeley, CA Duration:Long termJob Description:Need Data Scientist candidates who are local to Berkeley, CA location.* Good communication and interpersonal skills.If you are interested in this job position mentioned please respond with your resume in MS word format with these details.Full Name:Current Location:Contact No (Cell and Landline):Email ID:Skype id:Linkedin id:Visa Status:Availability:Currently on Project (Y/N):Open to relocate:Last 4 digits of SSN:Pas"
18,Data Scientist IV,"Bellevue, WA, USA",max eleven,Posted 21 days ago,"Greetings..!! Hope you are doing great today!! Please review the job description if you find yourself comfortable with the description please share with me your updated resume along with the best rate of what you are looking for. Job Title: Data Scientist IV Location: Bellevue, Washington (Hybrid) (2-3 days onsite in a week) Duration: 12+ months Submit candidates with Valid linkedin profile and i94 copy Qualifications: At least 7 years relevant experience required. Help us discover the inf"
19,Senior Data Scientist (Remote),Remote,Black Knight Inc,Posted 6 days ago,"SUMMARY Responsible for building and maintaining real estate analytics, automated valuation models (AVMs) and associated analyses within Black Knight's Data and Analytics Division. Creates, develops and programs mathematical models of real estate valuations, trends and risks. Uses classical statistical and machine learning methodologies with multiple public and proprietary data sources to develop AVMs for the residential real estate market. RESPONSIBILITIES Responsible for building, analyzing, t"
0,Data Scientist,"Atlanta, GA, USA","Competent Systems, Inc",Posted 34 days ago,"Title: Data Scientist Job Location: Atlanta, GA Duration: 12 Months Job Type: Contract Key words: Data Scientist, Database Must be very good Experience as Data Scientist, Data Analysis, Data Slicing, Database Concepts. Multiple job Openings Nationwide. Participate and contribute in the full project life cycle, including: gathering requirements; system design; implementation; testing; deployment; and, support of applications. Job Description: As a Senior Data Scientist, you will help lead th"
1,Data Scientist,Remote,West Coast Consulting LLC,Posted 13 days ago,"Position: Data Scientist Location: San Bruno CA Duration: Long Term Job Description Responsibilities Perform hands-on modeling and complex analyses using Python, SQL and/or RBuild and enhance marketing mix models to connect the impact of marketing tactics and business short-term and long-term outcomes Minimum Qualifications Master's degree in statistics, economics, operations research, engineering, or related fieldMarketing mix modeling industry experience8+ years of industry experience in d"
2,Principle Data Scientist,"Remote or Charlotte, NC, USA",Hirex,Posted 6 days ago,"Subject : Principle Data Scientist Location: Charlotte, NC Duration: Full Time Interview: Phone, Video Work as a leader on the Data Science, supporting the entire team as a point person of expertise for the data science projects across the group Work with senior business, product, & technical stakeholders to develop data science solutions to business problems. Proactively analyze existing & new datasets to find new modeling opportunities that are applicable to use cases Be a key contributo"
3,Senior Data Scientist,"San Bruno, CA, USA",Randstad Technologies,Posted 27 days ago,"job summary: Very exciting Data Scientist role for a top multinational retail corporation! The We are seeking an experienced data science individual contributor to enable deep insights and capabilities to our clients through advanced analytics and machine learning techniques (e.g. predictive modeling, segmentation, etc) Interested and qualified candidates, please email resumes directly to me at danielle.johnson@randstadusa.com for immediate consideration for this opportunity! Must be located in"
